description,price,image,market
Algodon ESTRELLA Pompones Bol 50 Uni,"$2.067,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00009100/00009154.jpg?3.0.165,Coto
Apósitos Adhesivos Manía Para Todo Tipo De Piel X 6 Unidades,"$248,68",https://static.cotodigital3.com.ar/sitios/fotos/medium/00546700/00546707.jpg?3.0.165,Coto
Broche Plástico Sin Resorte TU CASA  X12u,"$499,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00490900/00490946.jpg?3.0.165,Coto
Pastillas De Encen P/Carbon Y Leñ Humos Cja 24 Uni,"$999,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00493600/00493670.jpg?3.0.165,Coto
Sobre Comercial Medoro 63 Gr Con Fondo X 20,"$839,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00524500/00524560.jpg?3.0.165,Coto
Protectores Diarios Multiforma NOSOTRAS 60 Uni,"$2.543,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00531000/00531040.jpg?3.0.165,Coto
"3M Cinta De Enmascarar, 24mm X 40m - Caja Precortada","$1.723,85",https://static.cotodigital3.com.ar/sitios/fotos/medium/00456700/00456790.jpg?3.0.165,Coto
Apósitos Adhesivos CURITAS Transpiel Resistentes Al Agua X 20 Unidades,"$867,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00535400/00535434.jpg?3.0.165,Coto
description,price,image,supermercado
Toallitas Micelares Algabo 25 Uni,"$1.094,60",https://static.cotodigital3.com.ar/sitios/fotos/medium/00546700/00546702.jpg?3.0.165,Coto
Globos Perlados 9'' X 25 Unidades Multicolor,"$1.119,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00481600/00481693.jpg?3.0.165,Coto
Protectores Diarios Cola Less Calipso 50u,"$2.254,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00571800/00571830.jpg?3.0.165,Coto
Protectores Diarios Largos NOSOTRAS 15 Uni,"$679,35",https://static.cotodigital3.com.ar/sitios/fotos/medium/00531000/00531043.jpg?3.0.165,Coto
