description,price,image,market,brand
Smart Tv Samsung 4K Crystal UHD BU8000 75 HDR,"$ 1.749.999,00",https://carrefourar.vtexassets.com/arquivos/ids/387886-170-170?v=638319508204900000&width=170&height=170&aspect=true,Carrefour,SAMSUNG
Smart TV Samsung QLED Quantum Lite 4K 65 Pantone HDR Q65Cs,"$ 1.319.999,00",https://carrefourar.vtexassets.com/arquivos/ids/427654-170-170?v=638387843097770000&width=170&height=170&aspect=true,Carrefour,SAMSUNG
Smart TV NEO 65 QLED QN65QN85BAGCZB,"$ 2.529.999,00",https://carrefourar.vtexassets.com/arquivos/ids/387819-170-170?v=638319506765270000&width=170&height=170&aspect=true,Carrefour,
"Smart tv miniled android 55"" TCL 4k l55 c835","$ 999.999,00",https://carrefourar.vtexassets.com/arquivos/ids/419829-170-170?v=638361974297070000&width=170&height=170&aspect=true,Carrefour,TCL
Smart TV Samsung 4K UHD Crystal Processor 50 HDR CU7000,"$ 566.999,10",https://carrefourar.vtexassets.com/arquivos/ids/427616-170-170?v=638387842442800000&width=170&height=170&aspect=true,Carrefour,SAMSUNG
Smart Tv Samsung 4k Neo Qled QN90B 43 Gaming QN43QN90BAGCZB,"$ 1.199.999,00",https://carrefourar.vtexassets.com/arquivos/ids/387921-170-170?v=638319509326070000&width=170&height=170&aspect=true,Carrefour,SAMSUNG
Smart TV The Frame 55 QN55LS03BAGCZBTBEIGE,"$ 1.699.999,00",https://carrefourar.vtexassets.com/arquivos/ids/387842-170-170?v=638319507386930000&width=170&height=170&aspect=true,Carrefour,
Smart TV Samsung Neo QLED Quantum Matrix 4K 50 Gamer QN90C,"$ 1.999.999,00",https://carrefourar.vtexassets.com/arquivos/ids/427636-170-170?v=638387842905830000&width=170&height=170&aspect=true,Carrefour,SAMSUNG
Smart TV Samsung 4K UHD Crystal Processor 55 HDR CU7000,"$ 734.999,00",https://carrefourar.vtexassets.com/arquivos/ids/427633-170-170?v=638387842682870000&width=170&height=170&aspect=true,Carrefour,SAMSUNG
"Smart TV UHD 4K 65"" SHARP GOOGLE TV S6523US6G","$ 999.999,00",https://carrefourar.vtexassets.com/arquivos/ids/426955-170-170?v=638386819324570000&width=170&height=170&aspect=true,Carrefour,
"Smart TV UHD 4K 50"" SHARP GOOGLE TV S5023US6G","$ 567.999,00",https://carrefourar.vtexassets.com/arquivos/ids/426945-170-170?v=638386818529800000&width=170&height=170&aspect=true,Carrefour,
