description,price,supermercado
Papel Higiénico Max Hoja Simple 4x80m Higienol 32m2,"$3.040,54"
ORAL-B Expert Pick Interdental Cepillos Interdentales 20 Unidades,"$1.908,32"
Broche Madera Iberia 12 Uni,"$1.154,73"
Crayones PIZZINI   6 Unidades  ,"$579,00"
Toallas Femeninas Incontinencia Lina 8 Uni,"$774,85"
Toalla Femenina Ultra Fina Suave Siempre Libre 8u,"$782,99"
Alitas Con Piel X Uni (210 Gr) Refrigerados,"$196,08"
Toalla Femenina Adapt Plus Sin Alas Siempre Libre 8u,"$787,32"
Tabletas Limpiador 3 Minutos Corega 30u,"$2.959,99"
Toallas Femeninas Normal Suave Nosotras 8u,"$791,99"
Papel Higiénico CAMPANITA Soft Simple Hoja Paquete 4 Unidades,"$1.188,95"
Elásticos Chau Ouc Negro Con Metal Tao X 8 Uni,"$797,00"
Elásticos Chau Ouch Colores Con Metal Tao X 8 Uni,"$798,00"
Toallas Femeninas Normal Kotex Paq 16 Uni,"$1.603,40"
description,price
Toallas Femeninas Suave Con Alas Siempre Libre 16u.,"$1.614,99"
Toallas Femeninas Normal Kotex Paq 32 Uni,"$3.270,99"
Toalla Higiénica Invisible Suave Nosotras 16u,"$1.641,95"
Sobre Papel Manila Medoro 270x370mm X 10,"$1.029,00"
Galleta Campera (Bolsa Por 6 Unidades),"$618,99"
Fieltro Redondo Scotch- 32 Unidades,"$3.333,85"
Toalla Femenina Normal Suave Siempre Libre 16u,"$1.670,99"
Protectores Diarios Con Indicador De Cambio Kotex 20u.,"$2.092,04"
Lapices De Grafito FILGO Sigma Flex 4 Unidades,"$419,00"
Bolsa Residuo Pequeña 45x60 Glow 20u,"$2.099,93"
Tabletas Limpiador Blanqueador Corega 30u,"$3.155,99"
Colitas Chicas Varios Colores TAO Bol 12 Uni,"$1.262,77"
Lima P/Uñas Chica TAO Bol 5 Uni,"$533,99"
Toallas Femeninas SIEMPRE LIBRE Normal X 8 Un.,"$858,88"
Bolsa Hermética Doble Cierre Chica Bolzip 10 Uni,"$1.078,90"
Bolsa Residuo Grande 60x90 Flowi 10u,"$1.098,99"
Folio Escolar Luma Borde Color 10 Unidades,"$1.099,00"
Plastilina Maped Color´Peps 12 Colores 180 Gr,"$1.329,00"
Bolsa Residuo 50x70 Cristal Del Lago X 20 Uni,"$2.216,25"
Folio Oficio     50 Micr 10 Un,"$1.109,00"
Agua Saborizada Con Gas H2oh! Citrus Botella 1.5 L,"$677,00"
"Bolsas Herméticas ZIPLOC 17,7 X 18,8 Cm 12 U. Para Conservar","$1.338,13"
Bolsa Resid. 45 X 60 TASK Paq 20 Uni,"$2.234,52"
Mapa Político Argentina Rivadavia N3 5 Unidades,"$559,00"
Alitas Con Piel X Uni (245 Gr) Refrigerados,"$224,11"
Papel Higiénico FELPITA Blanquísimo Simple Hoja Paquete 4 Unidades,"$3.590,26"
Papel Higiénico CAMPANITA Soft Plus Xl Simple Hoja Paquete 4 Unidades,"$3.638,81"
Cinta Scotch Crystal Clear 18 Mm 10 Mtr,"$1.139,00"
Lima P/Uñas Gde TAO Bol 5 Uni,"$572,99"
Toallas Femeninas Normal Con Alas Siempre Libre 8u.,"$919,99"
Rollo Film Adherente Glow 30 Mtr,"$3.466,56"
Tampones Ob Siempre Libre Super X 16 Un.,"$1.849,99"
Papel Higiénico FELPITA Simple Hoja Paquete 4 Unidades,"$1.395,12"
Ajo Malla X 3 Uni,"$349,00"
Toalla Higienica Invisible Suave Nosotras 8u,"$934,99"
Bolsas Herméticas ZIPLOC Para Conservar Grande 19un,"$2.227,76"
Te C/Frutos Tropi Inti Zen 15 Uni,"$1.761,29"
Te Patagonia Bee INTI ZEN Est 15 Uni,"$1.761,29"
Te Ilumine Inti Zen Est 15 Uni,"$1.761,29"
Te C/Dce.De Leche Inti Zen  15 Uni,"$1.761,29"
Banda Depilat. P/Normal Axila VEET Cja 20 Uni,"$2.360,25"
Papel Higiénico CAMPANITA Soft Xxl Simple Hoja Paquete 4 Unidades,"$4.757,26"
Cepillo Interdental GUM Soft Picks Blister 12 Unidades,"$1.431,99"
Papel Higienico Cuidado Clasico X6 ELITE 18m,"$2.155,03"
Sobre Papel Obra Medoro 75 Gr X 20,"$2.409,00"
Temperas Maped Paquete 8 Gr 12 Unidades,"$1.449,00"
Bolsas De Residuos TRASH 45 X 60 Cm 20 U. Multiuso,"$2.417,72"
Papel Higiénico FELPITA Blanquísimo Simple Hoja Paquete 6 Unidades,"$5.806,54"
Toallas Femeninas SIEMPRE LIBRE Adapt Plus Ultrafina C/Alas X 8 Un.,"$970,23"
