description,price,brand,image,market
"Led 43"" Samsung Un43au7000gczb Uhd 4k",$554.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/672039-500-auto?v=637702762290970000&width=500&height=auto&aspect=true,Jumbo
Smart Tv 55 Samsung 4k Neoqled 55qn85c,$2.199.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/792093-500-auto?v=638294385993670000&width=500&height=auto&aspect=true,Jumbo
Smart Tv 65 Samsung 4k Qled Qn65q65c,$1.253.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/793439-500-auto?v=638303133718230000&width=500&height=auto&aspect=true,Jumbo
Smart Tv Lg 60uq8050 60 4k Uhd,$1.049.999,LG,https://jumboargentinaio.vtexassets.com/arquivos/ids/783273-500-auto?v=638209713774630000&width=500&height=auto&aspect=true,Jumbo
Led 55 Philips Smart Tv 4k 55pud7406-77,$549.999,PHILIPS,https://jumboargentinaio.vtexassets.com/arquivos/ids/780240-500-auto?v=638191785731000000&width=500&height=auto&aspect=true,Jumbo
Tv 32 Smart Hd Android Tv Crown Mustang,$210.248,CROWN MUSTANG,https://jumboargentinaio.vtexassets.com/arquivos/ids/789753-500-auto?v=638267601863400000&width=500&height=auto&aspect=true,Jumbo
Smart Tv 75 Samsung 4k Neoqled 75qn85c,$3.739.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/793441-500-auto?v=638303133724530000&width=500&height=auto&aspect=true,Jumbo
Tv 65 Bgh Led B6522us6a,$999.999,BGH,https://jumboargentinaio.vtexassets.com/arquivos/ids/759216-500-auto?v=638041233942400000&width=500&height=auto&aspect=true,Jumbo
Tcl Mini Led L55c835 Uhd Google Tv-rv,$1.304.998,TCL,https://jumboargentinaio.vtexassets.com/arquivos/ids/796023-500-auto?v=638315446051000000&width=500&height=auto&aspect=true,Jumbo
Smart Tv 50 Samsung 4k Neoqled 50qn90c,$1.999.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/793437-500-auto?v=638303133709730000&width=500&height=auto&aspect=true,Jumbo
Tv 55 Bgh Led B5522us6a,$759.999,BGH,https://jumboargentinaio.vtexassets.com/arquivos/ids/792668-500-auto?v=638298102308470000&width=500&height=auto&aspect=true,Jumbo
Smarttv Philips Hd 32 Android Wifi Usb Hdmi,$249.999,PHILIPS,https://jumboargentinaio.vtexassets.com/arquivos/ids/780247-500-auto?v=638191785754930000&width=500&height=auto&aspect=true,Jumbo
Smart Tv Lg Oledc2 65 4k Uhd.,$3.099.999,LG,https://jumboargentinaio.vtexassets.com/arquivos/ids/805039-500-auto?v=638388670955170000&width=500&height=auto&aspect=true,Jumbo
Smarttv Philips Fhd 43 Android Wifi Usb Hdmi,$379.999,PHILIPS,https://jumboargentinaio.vtexassets.com/arquivos/ids/780248-500-auto?v=638191785758530000&width=500&height=auto&aspect=true,Jumbo
Proyector Samsung Smart Freestyle 2,$1.101.998,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/800113-500-auto?v=638351733658300000&width=500&height=auto&aspect=true,Jumbo
Smart Tv Lg 70uq8050 70 4k Uhd,$1.364.999,LG,https://jumboargentinaio.vtexassets.com/arquivos/ids/788461-500-auto?v=638253129852600000&width=500&height=auto&aspect=true,Jumbo
Smart Tv Neoqled Samsung 43 4k,$1.199.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/805032-500-auto?v=638388670926470000&width=500&height=auto&aspect=true,Jumbo
Tv 50 Smart Uhd Android Tv Crown Mustang,$434.998,CROWN MUSTANG,https://jumboargentinaio.vtexassets.com/arquivos/ids/789767-500-auto?v=638267601905530000&width=500&height=auto&aspect=true,Jumbo
Soporte Tv Tamika Movil 26-75,$69.999,TAMIKA,https://jumboargentinaio.vtexassets.com/arquivos/ids/754004-500-auto?v=638018013921770000&width=500&height=auto&aspect=true,Jumbo
Smart Tv 43 Samsung 4k Neoqled 43qn85c,$1.499.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/792095-500-auto?v=638294385999600000&width=500&height=auto&aspect=true,Jumbo
