description,price,image,market,quantity,unit
"Soporte de TV para Pared con Doble Brazo 17"" A 42""","$ 31.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156813-170-170?v=637467542138470000&width=170&height=170&aspect=true,Carrefour,,
Smart TV LED HD 32'' TELEFUNKEN VIDAA TK,"$ 216.999,00",https://carrefourar.vtexassets.com/arquivos/ids/373213-170-170?v=638306401554470000&width=170&height=170&aspect=true,Carrefour,,
"Smart TV LED FHD 43"" TELEFUNKEN VIDAA TK","$ 445.999,00",https://carrefourar.vtexassets.com/arquivos/ids/374300-170-170?v=638308401908230000&width=170&height=170&aspect=true,Carrefour,,
Mesa ratona Carrefour Home con tapa elevable de mdf de .,"$ 99.900,00",https://carrefourar.vtexassets.com/arquivos/ids/261455-170-170?v=638029316638430000&width=170&height=170&aspect=true,Carrefour,,
Taburete plegable Carrefour Home con respaldo verde,"$ 9.900,00",https://carrefourar.vtexassets.com/arquivos/ids/255448-170-170?v=637980935820470000&width=170&height=170&aspect=true,Carrefour,,
Set escritorio y silla plegable Carrefour Home blanco,"$ 54.900,00",https://carrefourar.vtexassets.com/arquivos/ids/353306-170-170?v=638249612765130000&width=170&height=170&aspect=true,Carrefour,,
Banqueta Carrefour Home caño plegable roja,"$ 8.900,00",https://carrefourar.vtexassets.com/arquivos/ids/274483-170-170?v=638118969685930000&width=170&height=170&aspect=true,Carrefour,,
Escritorio plegable Carrefour Home negro,"$ 59.900,00",https://carrefourar.vtexassets.com/arquivos/ids/319885-170-170?v=638183054562530000&width=170&height=170&aspect=true,Carrefour,,
Estanteria industrial dielfe dos puertas,"$ 239.900,00",https://carrefourar.vtexassets.com/arquivos/ids/346153-170-170?v=638233966869000000&width=170&height=170&aspect=true,Carrefour,,
Taburete plegable Carrefour Home con respaldo azul,"$ 9.900,00",https://carrefourar.vtexassets.com/arquivos/ids/255446-170-170?v=637980935804200000&width=170&height=170&aspect=true,Carrefour,,
Mesa ratona dielfe soho,"$ 149.900,00",https://carrefourar.vtexassets.com/arquivos/ids/346150-170-170?v=638233966843230000&width=170&height=170&aspect=true,Carrefour,,
Banqueta Carrefour Home caño plegable azul,"$ 8.900,00",https://carrefourar.vtexassets.com/arquivos/ids/254421-170-170?v=637973765371270000&width=170&height=170&aspect=true,Carrefour,,
Estante kit Centro Estant con soporte . blanco,"$ 11.559,00",https://carrefourar.vtexassets.com/arquivos/ids/165008-170-170?v=637467716813400000&width=170&height=170&aspect=true,Carrefour,60.0 x 20.0,
Estante kit Centro Estant con soporte . wengué,"$ 17.389,00",https://carrefourar.vtexassets.com/arquivos/ids/165011-170-170?v=637467716838230000&width=170&height=170&aspect=true,Carrefour,60.0 x 40.0,
Estantería escalera Gacela tokio,"$ 39.900,00",https://carrefourar.vtexassets.com/arquivos/ids/346131-170-170?v=638233966691330000&width=170&height=170&aspect=true,Carrefour,,
Estante slim Centro Estant . blanco,"$ 8.990,00",https://carrefourar.vtexassets.com/arquivos/ids/165117-170-170?v=637467717755300000&width=170&height=170&aspect=true,Carrefour,60.0 x 20.0,
Sillón de Oficina Managua Negro,"$ 59.900,00",https://carrefourar.vtexassets.com/arquivos/ids/164624-170-170?v=637467714004930000&width=170&height=170&aspect=true,Carrefour,,
Estante slim Centro Estant . wengué,"$ 11.900,00",https://carrefourar.vtexassets.com/arquivos/ids/165119-170-170?v=637467717771430000&width=170&height=170&aspect=true,Carrefour,60.0 x 20.0,
Estante slim íso,"$ 8.990,00",https://carrefourar.vtexassets.com/arquivos/ids/315522-170-170?v=638175093742200000&width=170&height=170&aspect=true,Carrefour,60.0 x 20.0,
Aceite de oliva Carrefour virgen lata .,"$ 18.224,00",https://carrefourar.vtexassets.com/arquivos/ids/167096-170-170?v=637467734083470000&width=170&height=170&aspect=true,Carrefour,1.0,l
Aceite de oliva Cocinero puro pet .,"$ 7.480,00",https://carrefourar.vtexassets.com/arquivos/ids/336037-170-170?v=638218497626400000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Aceite de oliva Lira en lata .,"$ 9.780,00",https://carrefourar.vtexassets.com/arquivos/ids/371183-170-170?v=638300723672200000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Jugo de limón Monte Alto .,"$ 1.645,00",https://carrefourar.vtexassets.com/arquivos/ids/182676-170-170?v=637468589559930000&width=170&height=170&aspect=true,Carrefour,1.0,l
